SalesOrderID,OrderLine,CustomerID,MaterialID,PlantID,OrderDate,RequestedDeliveryDate,ActualDeliveryDate,Quantity,UnitPrice,GrossRevenue,DiscountPercent,DiscountAmount,NetRevenue,Currency,SalesChannel,OrderStatus,DeliveryStatus
SO000042,10,CUST0192,MAT0057,PL02,2025-08-13,2025-08-29,,582,28.75,16732.5,0.0,0.0,16732.5,USD,Direct Sales,Backordered,Not Delivered
SO000043,10,CUST0170,MAT0085,PL03,2025-05-20,2025-05-24,2025-06-01,480,25.11,12052.8,0.0,0.0,12052.8,USD,Distributor,Completed,Late
SO000044,10,CUST0030,MAT0050,PL01,2026-04-07,2026-05-03,2026-05-06,1476,32.74,48324.24,10.0,4832.42,43491.82,CAD,Direct Sales,Completed,Late
SO000045,10,CUST0197,MAT0147,PL03,2026-04-26,2026-05-01,2026-05-07,1115,38.44,42860.6,0.0,0.0,42860.6,USD,Retail,Completed,Late
SO000046,10,CUST0066,MAT0050,PL04,2025-04-18,2025-05-02,2025-05-09,956,33.27,31806.12,5.0,1590.31,30215.81,CAD,Distributor,Completed,Late
SO000047,10,CUST0075,MAT0036,PL02,2026-01-19,2026-02-11,2026-02-14,107,57.79,6183.53,7.5,463.76,5719.77,AUD,Retail,Completed,Late
SO000048,10,CUST0146,MAT0012,PL01,2025-09-09,2025-09-20,2025-09-26,112,80.56,9022.72,10.0,902.27,8120.45,USD,E-Commerce,Completed,Late
SO000049,10,CUST0155,MAT0032,PL04,2026-05-27,2026-06-15,2026-06-21,570,11.42,6509.4,5.0,325.47,6183.93,USD,Direct Sales,Completed,Late
SO000050,10,CUST0054,MAT0099,PL04,2026-04-12,2026-04-27,,493,67.7,33376.1,0.0,0.0,33376.1,USD,Retail,In Process,Not Delivered
SO000051,10,CUST0012,MAT0023,PL01,2025-11-11,2025-12-02,,854,49.58,42341.32,0.0,0.0,42341.32,CAD,E-Commerce,Backordered,Not Delivered
SO000052,10,CUST0100,MAT0037,PL01,2026-05-28,2026-06-15,2026-06-22,1218,29.91,36430.38,0.0,0.0,36430.38,AUD,Direct Sales,Completed,Late
SO000053,10,CUST0166,MAT0075,PL02,2026-04-08,2026-04-14,2026-04-14,121,37.62,4552.02,10.0,455.2,4096.82,USD,Retail,Completed,On Time
SO000054,10,CUST0146,MAT0074,PL04,2026-04-10,2026-04-25,,1130,42.52,48047.6,10.0,4804.76,43242.84,USD,E-Commerce,Backordered,Not Delivered
SO000055,10,CUST0117,MAT0120,PL04,2026-02-06,2026-02-28,2026-02-27,1315,24.74,32533.1,10.0,3253.31,29279.79,CAD,Direct Sales,Completed,On Time
SO000056,10,CUST0161,MAT0120,PL02,2025-05-28,2025-06-19,,115,25.62,2946.3,7.5,220.97,2725.33,USD,Direct Sales,Backordered,Not Delivered
SO000057,10,CUST0046,MAT0081,PL03,2025-10-24,2025-11-19,,361,64.72,23363.92,0.0,0.0,23363.92,CAD,Retail,In Process,Not Delivered
SO000058,10,CUST0154,MAT0095,PL03,2025-03-14,2025-03-22,,965,18.53,17881.45,10.0,1788.15,16093.3,USD,E-Commerce,In Process,Not Delivered
SO000059,10,CUST0121,MAT0133,PL03,2026-06-06,2026-06-11,,913,76.37,69725.81,7.5,5229.44,64496.37,AUD,E-Commerce,Backordered,Not Delivered
SO000060,10,CUST0109,MAT0037,PL04,2025-09-23,2025-10-02,,248,27.68,6864.64,0.0,0.0,6864.64,CAD,Retail,In Process,Not Delivered
SO000061,10,CUST0034,MAT0029,PL03,2026-01-15,2026-01-27,2026-02-02,1280,68.62,87833.6,10.0,8783.36,79050.24,AUD,Retail,Completed,Late
SO000062,10,CUST0161,MAT0148,PL01,2025-05-01,2025-05-16,,478,69.7,33316.6,0.0,0.0,0.0,AUD,Distributor,Cancelled,Not Delivered
SO000063,10,CUST0050,MAT0083,PL03,2025-08-05,2025-08-23,2025-08-25,944,35.15,33181.6,0.0,0.0,33181.6,AUD,E-Commerce,Completed,Late
SO000064,10,CUST0155,MAT0143,PL02,2026-05-22,2026-06-19,,1041,35.49,36945.09,10.0,3694.51,33250.58,USD,Direct Sales,Backordered,Not Delivered
SO000065,10,CUST0093,MAT0144,PL03,2026-05-21,2026-06-04,,1403,7.74,10859.22,0.0,0.0,10859.22,CAD,Retail,In Process,Not Delivered
SO000066,10,CUST0075,MAT0091,PL01,2025-04-14,2025-05-11,2025-05-11,410,12.35,5063.5,7.5,379.76,4683.74,USD,Direct Sales,Completed,On Time
SO000067,10,CUST0168,MAT0016,PL04,2026-04-01,2026-04-05,,960,26.8,25728.0,5.0,1286.4,24441.6,USD,Distributor,Backordered,Not Delivered
SO000068,10,CUST0123,MAT0098,PL02,2025-04-21,2025-05-13,,657,16.27,10689.39,10.0,1068.94,9620.45,CAD,E-Commerce,In Process,Not Delivered
SO000069,10,CUST0095,MAT0110,PL01,2025-07-31,2025-08-25,2025-08-31,414,58.47,24206.58,7.5,1815.49,22391.09,USD,E-Commerce,Completed,Late
SO000070,10,CUST0021,MAT0090,PL01,2025-11-18,2025-11-29,,525,51.64,27111.0,7.5,2033.32,25077.68,USD,Distributor,In Process,Not Delivered
SO000071,10,CUST0075,MAT0036,PL01,2026-02-09,2026-03-06,,405,56.2,22761.0,10.0,2276.1,20484.9,AUD,Retail,In Process,Not Delivered
SO000072,10,CUST0073,MAT0130,PL04,2025-07-24,2025-08-18,2025-08-26,315,62.46,19674.9,0.0,0.0,19674.9,USD,E-Commerce,Completed,Late
SO000073,10,CUST0152,MAT0036,PL03,2025-01-23,2025-02-06,,1215,54.7,66460.5,0.0,0.0,0.0,USD,E-Commerce,Cancelled,Not Delivered
SO000074,10,CUST0169,MAT0004,PL04,2025-11-25,2025-12-04,,909,22.03,20025.27,10.0,2002.53,18022.74,CAD,Direct Sales,Backordered,Not Delivered
SO000075,10,CUST0166,MAT0039,PL01,2025-05-06,2025-05-23,2025-05-23,1132,53.94,61060.08,0.0,0.0,61060.08,USD,Direct Sales,Completed,On Time
SO000076,10,CUST0056,MAT0078,PL01,2026-06-14,2026-07-11,,115,21.72,2497.8,10.0,249.78,2248.02,USD,Retail,In Process,Not Delivered
SO000077,10,CUST0069,MAT0036,PL04,2025-02-16,2025-03-02,,635,56.31,35756.85,0.0,0.0,35756.85,AUD,Direct Sales,In Process,Not Delivered
SO000078,10,CUST0016,MAT0051,PL03,2026-03-22,2026-04-03,,289,58.9,17022.1,0.0,0.0,0.0,CAD,Retail,Cancelled,Not Delivered
SO000079,10,CUST0154,MAT0072,PL04,2025-04-24,2025-05-06,,993,63.95,63502.35,10.0,6350.24,57152.11,AUD,Distributor,Backordered,Not Delivered
SO000080,10,CUST0097,MAT0057,PL01,2025-07-21,2025-08-20,2025-08-24,1014,25.64,25998.96,10.0,2599.9,23399.06,AUD,Retail,Completed,Late
SO000081,10,CUST0099,MAT0064,PL03,2025-07-31,2025-08-29,,605,32.94,19928.7,10.0,1992.87,17935.83,USD,Retail,Backordered,Not Delivered
SO000082,10,CUST0030,MAT0013,PL02,2025-05-04,2025-05-25,,17,79.89,1358.13,5.0,67.91,1290.22,AUD,Direct Sales,In Process,Not Delivered
SO000083,10,CUST0094,MAT0058,PL04,2025-09-29,2025-10-18,2025-10-26,938,36.5,34237.0,10.0,3423.7,30813.3,AUD,Direct Sales,Completed,Late
SO000084,10,CUST0181,MAT0138,PL03,2026-04-23,2026-05-17,2026-05-21,1269,17.41,22093.29,0.0,0.0,22093.29,USD,Direct Sales,Completed,Late
SO000085,10,CUST0193,MAT0030,PL01,2025-10-08,2025-10-17,2025-10-17,972,14.98,14560.56,2.0,291.21,14269.35,USD,Distributor,Completed,On Time
SO000086,10,CUST0114,MAT0065,PL04,2025-02-03,2025-02-16,,450,41.21,18544.5,0.0,0.0,18544.5,USD,Direct Sales,In Process,Not Delivered
SO000087,10,CUST0062,MAT0056,PL02,2026-06-05,2026-06-10,,274,75.14,20588.36,7.5,1544.13,0.0,USD,E-Commerce,Cancelled,Not Delivered
SO000088,10,CUST0125,MAT0002,PL01,2025-10-07,2025-10-10,2025-10-17,660,16.4,10824.0,5.0,541.2,10282.8,USD,Distributor,Completed,Late
SO000089,10,CUST0188,MAT0024,PL04,2026-01-24,2026-02-22,,579,51.13,29604.27,10.0,2960.43,26643.84,USD,Direct Sales,Backordered,Not Delivered
SO000090,10,CUST0192,MAT0118,PL04,2025-07-18,2025-08-07,2025-08-05,1376,12.95,17819.2,10.0,1781.92,16037.28,USD,Direct Sales,Completed,On Time
SO000091,10,CUST0189,MAT0127,PL01,2025-05-06,2025-06-01,,455,39.35,17904.25,5.0,895.21,0.0,USD,Retail,Cancelled,Not Delivered
SO000092,10,CUST0063,MAT0124,PL03,2025-03-25,2025-04-21,,331,35.1,11618.1,5.0,580.91,11037.19,CAD,Retail,In Process,Not Delivered
SO000093,10,CUST0200,MAT0008,PL03,2025-03-24,2025-04-16,2025-04-24,1273,52.68,67061.64,0.0,0.0,67061.64,AUD,Retail,Completed,Late
SO000094,10,CUST0183,MAT0150,PL03,2026-04-17,2026-04-28,,301,8.15,2453.15,0.0,0.0,2453.15,CAD,Direct Sales,Backordered,Not Delivered
SO000095,10,CUST0075,MAT0127,PL02,2025-03-18,2025-04-11,2025-04-09,568,39.57,22475.76,5.0,1123.79,21351.97,CAD,E-Commerce,Completed,On Time
SO000096,10,CUST0080,MAT0111,PL02,2025-05-13,2025-05-23,2025-05-21,739,13.32,9843.48,2.0,196.87,9646.61,USD,Direct Sales,Completed,On Time
SO000097,10,CUST0113,MAT0091,PL04,2025-01-06,2025-01-17,2025-01-23,153,12.82,1961.46,0.0,0.0,1961.46,USD,Direct Sales,Completed,Late
SO000098,10,CUST0056,MAT0039,PL02,2025-08-25,2025-09-04,2025-09-08,753,49.93,37597.29,7.5,2819.8,34777.49,USD,E-Commerce,Completed,Late
SO000099,10,CUST0057,MAT0116,PL02,2025-08-31,2025-09-10,,972,74.38,72297.36,0.0,0.0,0.0,CAD,Retail,Cancelled,Not Delivered
SO000100,10,CUST0076,MAT0088,PL03,2025-07-11,2025-07-17,2025-07-24,51,47.53,2424.03,10.0,242.4,2181.63,CAD,Distributor,Completed,Late
SO000101,10,CUST0008,MAT0078,PL02,2025-01-02,2025-01-24,,885,18.84,16673.4,2.0,333.47,0.0,AUD,Distributor,Cancelled,Not Delivered
SO000102,10,CUST0146,MAT0129,PL02,2025-05-22,2025-06-03,2025-06-05,1253,29.93,37502.29,2.0,750.05,36752.24,AUD,Retail,Completed,Late
SO000103,10,CUST0147,MAT0080,PL02,2025-08-06,2025-08-09,,1151,24.18,27831.18,0.0,0.0,0.0,CAD,E-Commerce,Cancelled,Not Delivered
SO000104,10,CUST0057,MAT0060,PL03,2025-08-13,2025-08-26,2025-09-01,857,72.76,62355.32,5.0,3117.77,59237.55,AUD,Direct Sales,Completed,Late
SO000105,10,CUST0185,MAT0071,PL02,2025-09-11,2025-10-03,2025-10-01,632,51.38,32472.16,2.0,649.44,31822.72,CAD,Direct Sales,Completed,On Time
SO000106,10,CUST0049,MAT0002,PL03,2026-06-02,2026-06-16,2026-06-15,1059,17.22,18235.98,2.0,364.72,17871.26,USD,Distributor,Completed,On Time
SO000107,10,CUST0168,MAT0083,PL04,2025-08-01,2025-08-22,,1437,40.4,58054.8,10.0,5805.48,0.0,USD,E-Commerce,Cancelled,Not Delivered
SO000108,10,CUST0196,MAT0037,PL03,2025-06-08,2025-06-30,2025-07-01,549,30.05,16497.45,0.0,0.0,16497.45,USD,E-Commerce,Completed,Late
SO000109,10,CUST0064,MAT0112,PL02,2025-04-05,2025-04-23,2025-04-24,1394,49.2,68584.8,5.0,3429.24,65155.56,USD,Distributor,Completed,Late
SO000110,10,CUST0182,MAT0110,PL01,2025-01-19,2025-02-08,,100,51.51,5151.0,0.0,0.0,0.0,USD,Distributor,Cancelled,Not Delivered
SO000111,10,CUST0161,MAT0072,PL04,2025-02-26,2025-03-05,2025-03-10,461,60.61,27941.21,2.0,558.82,27382.39,USD,E-Commerce,Completed,Late
SO000112,10,CUST0025,MAT0099,PL02,2025-08-10,2025-08-18,2025-08-18,1264,75.52,95457.28,10.0,9545.73,85911.55,USD,E-Commerce,Completed,On Time
SO000113,10,CUST0179,MAT0143,PL02,2025-04-03,2025-04-14,2025-04-21,163,32.95,5370.85,2.0,107.42,5263.43,USD,Retail,Completed,Late
SO000114,10,CUST0056,MAT0105,PL01,2025-11-17,2025-12-02,,1243,46.96,58371.28,7.5,4377.85,53993.43,CAD,Distributor,Backordered,Not Delivered
SO000115,10,CUST0111,MAT0026,PL04,2026-06-12,2026-07-03,2026-07-10,963,45.73,44037.99,0.0,0.0,44037.99,USD,Direct Sales,Completed,Late
SO000116,10,CUST0161,MAT0058,PL03,2025-08-13,2025-09-04,2025-09-12,1132,41.22,46661.04,0.0,0.0,46661.04,CAD,Distributor,Completed,Late
SO000117,10,CUST0111,MAT0078,PL01,2025-04-05,2025-04-22,2025-04-21,1174,22.68,26626.32,5.0,1331.32,25295.0,USD,Retail,Completed,On Time
SO000118,10,CUST0186,MAT0024,PL02,2026-06-02,2026-06-15,2026-06-18,965,51.96,50141.4,10.0,5014.14,45127.26,AUD,E-Commerce,Completed,Late
SO000119,10,CUST0154,MAT0100,PL02,2026-02-08,2026-03-05,2026-03-09,654,16.47,10771.38,7.5,807.85,9963.53,USD,E-Commerce,Completed,Late
SO000120,10,CUST0064,MAT0032,PL04,2025-09-22,2025-10-04,2025-10-08,462,11.47,5299.14,10.0,529.91,4769.23,USD,Direct Sales,Completed,Late
SO000121,10,CUST0019,MAT0070,PL02,2025-09-04,2025-09-26,,129,54.8,7069.2,0.0,0.0,0.0,USD,E-Commerce,Cancelled,Not Delivered
SO000122,10,CUST0185,MAT0088,PL01,2026-01-19,2026-02-18,2026-02-18,191,49.6,9473.6,7.5,710.52,8763.08,AUD,E-Commerce,Completed,On Time
SO000123,10,CUST0175,MAT0034,PL04,2025-04-18,2025-05-06,,1371,53.97,73992.87,2.0,1479.86,72513.01,USD,Direct Sales,Backordered,Not Delivered
SO000124,10,CUST0039,MAT0005,PL01,2025-12-22,2026-01-10,2026-01-12,958,27.63,26469.54,0.0,0.0,26469.54,USD,Retail,Completed,Late
SO000125,10,CUST0030,MAT0121,PL04,2026-05-16,2026-05-26,2026-05-28,323,18.43,5952.89,2.0,119.06,5833.83,USD,E-Commerce,Completed,Late
SO000126,10,CUST0105,MAT0051,PL03,2025-08-15,2025-08-23,2025-08-31,900,58.61,52749.0,0.0,0.0,52749.0,CAD,Direct Sales,Completed,Late
SO000127,10,CUST0161,MAT0122,PL03,2025-02-07,2025-02-12,2025-02-13,1428,55.62,79425.36,0.0,0.0,79425.36,USD,Direct Sales,Completed,Late
SO000128,10,CUST0123,MAT0101,PL01,2025-08-13,2025-08-30,,116,47.31,5487.96,7.5,411.6,5076.36,USD,Distributor,In Process,Not Delivered
SO000129,10,CUST0011,MAT0017,PL01,2025-01-14,2025-02-05,,1236,22.32,27587.52,0.0,0.0,27587.52,AUD,Retail,Backordered,Not Delivered
SO000130,10,CUST0072,MAT0076,PL01,2025-11-03,2025-11-10,2025-11-16,777,29.43,22867.11,0.0,0.0,22867.11,USD,Retail,Completed,Late
SO000131,10,CUST0153,MAT0096,PL04,2025-10-22,2025-11-06,,57,30.29,1726.53,7.5,129.49,1597.04,CAD,Retail,Backordered,Not Delivered
SO000132,10,CUST0047,MAT0149,PL04,2026-04-02,2026-04-11,2026-04-13,174,33.89,5896.86,0.0,0.0,5896.86,USD,Retail,Completed,Late
SO000133,10,CUST0170,MAT0001,PL03,2025-09-10,2025-09-29,2025-10-07,761,54.8,41702.8,10.0,4170.28,37532.52,CAD,Retail,Completed,Late
SO000134,10,CUST0075,MAT0053,PL02,2026-02-19,2026-03-06,2026-03-05,1315,42.09,55348.35,5.0,2767.42,52580.93,USD,Distributor,Completed,On Time
SO000135,10,CUST0197,MAT0009,PL04,2026-05-22,2026-06-13,2026-06-14,1290,17.47,22536.3,0.0,0.0,22536.3,USD,Distributor,Completed,Late
SO000136,10,CUST0116,MAT0127,PL04,2025-10-14,2025-11-11,,681,34.97,23814.57,10.0,2381.46,21433.11,USD,Direct Sales,In Process,Not Delivered
SO000137,10,CUST0053,MAT0035,PL03,2025-06-28,2025-07-24,,748,66.02,49382.96,0.0,0.0,0.0,USD,Retail,Cancelled,Not Delivered
SO000138,10,CUST0056,MAT0020,PL01,2025-03-09,2025-03-12,,669,14.82,9914.58,7.5,743.59,9170.99,USD,Direct Sales,In Process,Not Delivered
SO000139,10,CUST0058,MAT0050,PL01,2025-06-19,2025-07-15,,581,32.35,18795.35,0.0,0.0,18795.35,USD,E-Commerce,Backordered,Not Delivered
SO000140,10,CUST0123,MAT0087,PL04,2025-04-17,2025-05-08,,42,49.42,2075.64,5.0,103.78,0.0,AUD,E-Commerce,Cancelled,Not Delivered
SO000141,10,CUST0051,MAT0040,PL02,2026-01-31,2026-02-28,,600,45.44,27264.0,0.0,0.0,27264.0,CAD,Distributor,Backordered,Not Delivered
SO000142,10,CUST0088,MAT0128,PL04,2025-05-02,2025-05-31,,1157,31.21,36109.97,2.0,722.2,0.0,USD,E-Commerce,Cancelled,Not Delivered
SO000143,10,CUST0086,MAT0085,PL02,2025-04-03,2025-04-20,,76,22.8,1732.8,2.0,34.66,1698.14,USD,Direct Sales,In Process,Not Delivered
SO000144,10,CUST0007,MAT0089,PL02,2025-09-25,2025-10-03,,1364,75.93,103568.52,2.0,2071.37,101497.15,USD,Distributor,In Process,Not Delivered
SO000145,10,CUST0150,MAT0083,PL03,2025-01-09,2025-02-01,,1020,37.79,38545.8,7.5,2890.93,35654.87,AUD,Retail,Backordered,Not Delivered
SO000146,10,CUST0181,MAT0124,PL04,2025-08-23,2025-09-11,,51,38.79,1978.29,2.0,39.57,0.0,AUD,Retail,Cancelled,Not Delivered
SO000147,10,CUST0064,MAT0114,PL01,2026-06-03,2026-06-07,,334,69.65,23263.1,7.5,1744.73,0.0,USD,Retail,Cancelled,Not Delivered
SO000148,10,CUST0138,MAT0062,PL03,2025-01-01,2025-01-17,2025-01-24,10,48.19,481.9,7.5,36.14,445.76,USD,Retail,Completed,Late
SO000149,10,CUST0004,MAT0040,PL01,2025-11-10,2025-12-06,,934,52.59,49119.06,5.0,2455.95,46663.11,USD,Distributor,Backordered,Not Delivered
SO000150,10,CUST0085,MAT0031,PL04,2026-02-24,2026-03-09,2026-03-08,957,8.79,8412.03,0.0,0.0,8412.03,USD,Retail,Completed,On Time
SO000151,10,CUST0186,MAT0023,PL02,2026-06-07,2026-06-18,2026-06-18,370,48.11,17800.7,5.0,890.04,16910.66,CAD,E-Commerce,Completed,On Time
SO000152,10,CUST0138,MAT0114,PL02,2025-06-07,2025-06-27,,1389,61.02,84756.78,0.0,0.0,84756.78,CAD,Distributor,In Process,Not Delivered
SO000153,10,CUST0055,MAT0080,PL03,2026-04-07,2026-04-25,2026-04-27,951,26.6,25296.6,0.0,0.0,25296.6,USD,Direct Sales,Completed,Late
SO000154,10,CUST0133,MAT0043,PL02,2025-03-24,2025-04-23,,1062,27.05,28727.1,7.5,2154.53,26572.57,AUD,Direct Sales,In Process,Not Delivered
SO000155,10,CUST0133,MAT0097,PL04,2026-05-19,2026-06-11,,1334,55.68,74277.12,5.0,3713.86,70563.26,USD,Distributor,In Process,Not Delivered
SO000156,10,CUST0118,MAT0073,PL03,2025-10-11,2025-10-20,,774,38.05,29450.7,5.0,1472.54,0.0,USD,Direct Sales,Cancelled,Not Delivered
SO000157,10,CUST0126,MAT0057,PL02,2025-11-24,2025-12-08,,167,28.47,4754.49,10.0,475.45,4279.04,USD,Direct Sales,Backordered,Not Delivered
SO000158,10,CUST0018,MAT0101,PL02,2026-02-26,2026-03-22,,1352,55.52,75063.04,10.0,7506.3,67556.74,USD,E-Commerce,In Process,Not Delivered
SO000159,10,CUST0121,MAT0122,PL02,2026-01-14,2026-02-06,2026-02-10,418,51.5,21527.0,0.0,0.0,21527.0,CAD,Distributor,Completed,Late
SO000160,10,CUST0177,MAT0077,PL02,2026-03-24,2026-04-13,,991,62.02,61461.82,7.5,4609.64,56852.18,USD,Direct Sales,Backordered,Not Delivered
SO000161,10,CUST0139,MAT0008,PL03,2025-12-14,2025-12-28,2025-12-26,1303,58.28,75938.84,7.5,5695.41,70243.43,CAD,E-Commerce,Completed,On Time
SO000162,10,CUST0066,MAT0028,PL02,2025-10-21,2025-10-24,,615,26.34,16199.1,5.0,809.96,15389.14,USD,Direct Sales,In Process,Not Delivered
SO000163,10,CUST0102,MAT0103,PL02,2025-04-06,2025-04-21,,685,18.45,12638.25,7.5,947.87,11690.38,CAD,E-Commerce,In Process,Not Delivered
